"Order Number","Order Status","Order Date","City (Shipping)","Order Total Amount"
16016,Completed,"2025-11-26 07:02","Jet park, noksburg",576.00
16010,Completed,"2025-11-26 00:01",Krugersdorp,630.00
16009,Completed,"2025-11-25 22:13",Randburg,546.00
16008,Completed,"2025-11-25 20:24",Alberton,380.00
16007,Completed,"2025-11-25 20:04","White River",348.00
16006,Processing,"2025-11-25 19:56",MIDRAND,348.00
16004,Processing,"2025-11-25 19:26","Pretoria East",648.00
16003,Completed,"2025-11-25 18:33",Lephalale,706.00
16002,Processing,"2025-11-25 14:32","Rocklands Bloemfontein",290.00
16001,Completed,"2025-11-25 13:13","Cape Town",348.00
16000,Completed,"2025-11-25 11:23",Ladysmith,380.00
15998,Completed,"2025-11-25 07:23","Cape Town",348.00
15997,Completed,"2025-11-25 06:32","Cape Town",576.00
15996,Completed,"2025-11-25 06:31","Wattville, Benoni",1437.00
15995,Completed,"2025-11-25 05:37","Johannesburg south",418.00
15993,Completed,"2025-11-25 04:14","Waterval boven",348.00
15982,Completed,"2025-11-24 20:46","Wierda Valley",418.00
15981,Completed,"2025-11-24 20:43",Dutywa,598.00
15980,Completed,"2025-11-24 19:57","Mount Frere",660.00
15979,Completed,"2025-11-24 14:28",Mthatha,520.00
15978,Completed,"2025-11-24 13:25","Scottburgh, Durban",220.00
15977,Completed,"2025-11-24 12:47",1754,636.00
15974,Completed,"2025-11-24 07:27",Hibberdene,636.00
15973,Completed,"2025-11-24 05:57",Pongola,348.00
15972,Completed,"2025-11-24 05:47","Cape Town",570.00
15948,Completed,"2025-11-23 17:38",Mmabatho,576.00
15947,Completed,"2025-11-23 08:22","Ermelo/ Breyten",380.00
15878,Completed,"2025-11-22 20:21",Witbank,380.00
15877,Completed,"2025-11-22 19:55",Vosloorus,568.00
15876,Completed,"2025-11-22 18:34",Gqeberha,348.00
15875,Completed,"2025-11-22 16:52","East london",508.00
15874,Completed,"2025-11-22 12:51",Randburg,576.00
15872,Completed,"2025-11-22 09:44",Pretoria,348.00
15867,Completed,"2025-11-22 03:22",Phuthaditjhaba,598.00
15806,Processing,"2025-11-21 22:25",Sekhukhune,748.00
15805,Completed,"2025-11-21 18:55",Pampierstad,510.00
15804,Completed,"2025-11-21 17:42",Tongaat,576.00
15715,Completed,"2025-11-21 12:38","Kempton Park",348.00
15704,Completed,"2025-11-21 07:01",Inchanga,985.00
15703,Completed,"2025-11-21 03:44",EMPANGENI,220.00
15680,Completed,"2025-11-20 20:25",Johannesburg,348.00
15679,Completed,"2025-11-20 19:56",Touwsriver,646.00
15678,Completed,"2025-11-20 17:44","Rondebosch, Cape Town",600.00
15674,Completed,"2025-11-20 12:38","Oslo Beach",640.00
15673,Completed,"2025-11-20 09:49",Mthatha,348.00
15672,Completed,"2025-11-20 07:18",Umtata,576.00
15670,Completed,"2025-11-19 23:21",George,750.00
15669,Completed,"2025-11-19 17:15","Cape Town",380.00
15665,Completed,"2025-11-19 12:28","King Williams Town",450.00
15663,Completed,"2025-11-19 10:19",Warrenton,568.00
15654,Completed,"2025-11-18 23:23",Pretoria,220.00
15645,Processing,"2025-11-18 22:53",Polokwane,670.00
15642,Completed,"2025-11-18 22:16",Wolseley,540.00
15639,Completed,"2025-11-18 20:30",Queenstown,420.00
15633,Completed,"2025-11-18 18:45","Arcon park",348.00
15630,Completed,"2025-11-18 17:20",Gqeberha,388.00
15629,Completed,"2025-11-18 15:40","Kempton Park",260.00
15626,Completed,"2025-11-18 14:43",Welkom,388.00
15625,Completed,"2025-11-18 14:08",Ndwedwe,620.00
15624,Completed,"2025-11-18 13:13",Matatiele,638.00
15623,Completed,"2025-11-18 09:53","Cape Town",562.00
15612,Completed,"2025-11-18 08:48",Centurion,548.00
15576,Completed,"2025-11-17 18:52","Port Elizabeth",590.00
15573,Completed,"2025-11-17 17:01",Dysselsdorp,576.00
15569,Completed,"2025-11-17 14:16",Midrand,510.00
15568,Completed,"2025-11-17 12:09","Cape Town",588.00
15561,Completed,"2025-11-17 07:03",Mandeni,576.00
15548,Processing,"2025-11-16 23:01",Durban,765.00
15541,Completed,"2025-11-16 14:28",Lusikisiki,260.00
15540,Completed,"2025-11-16 13:37",Durban,508.00
15537,Completed,"2025-11-16 00:01",Durban,756.00
15536,Completed,"2025-11-15 21:50","Richards Bay",348.00
15535,Completed,"2025-11-15 20:56",Vereeniging,600.00
15534,Completed,"2025-11-15 18:32",Gqeberha,576.00
15533,Completed,"2025-11-15 18:09",Kathu,780.00
15532,Completed,"2025-11-15 17:27",Capetown,548.00
15531,Completed,"2025-11-15 13:21",Midrand,576.00
15530,Completed,"2025-11-15 09:48",Acornhoek,388.00
15529,Completed,"2025-11-15 08:04",Johannesburg,588.00
15528,Completed,"2025-11-15 08:03",Embalenhle,598.00
15527,Completed,"2025-11-15 08:00",Delft,260.00
15526,Completed,"2025-11-15 05:12",Vryburg,388.00
15525,Completed,"2025-11-15 02:01",Kariega,220.00
15524,Completed,"2025-11-14 22:45",Wolmaransstad,502.00
15523,Completed,"2025-11-14 22:21",Polokwane,348.00
15522,Processing,"2025-11-14 17:44",Viljoenskroon,220.00
15521,Completed,"2025-11-14 14:44",Pretoria,388.00
15518,Completed,"2025-11-14 11:49",Queenstown,608.00
15517,Completed,"2025-11-14 11:26",Johannesburg,730.00
15516,Completed,"2025-11-14 07:29",Mbombela,348.00
15515,Completed,"2025-11-14 07:17",Durban,1079.00
15513,Completed,"2025-11-14 06:59",Fourways,388.00
15508,Completed,"2025-11-13 17:27",Mokopane,510.00
15507,Completed,"2025-11-13 17:12","Port Elizabeth",388.00
15506,Processing,"2025-11-13 16:33",Rustenburg,348.00
15505,Completed,"2025-11-13 11:51","Cape Town",260.00
15502,Completed,"2025-11-13 10:54",Pretoria,260.00
15501,Completed,"2025-11-13 10:05",Randfontein,388.00
15500,Completed,"2025-11-13 09:33",Pretoria,963.00
15490,Completed,"2025-11-12 20:31",Florida,1320.00
15469,Completed,"2025-11-12 08:21",Johannesburg,348.00
15462,Completed,"2025-11-12 03:54","East London",388.00
15457,Completed,"2025-11-12 01:26","Cape Town",260.00
15452,Completed,"2025-11-11 19:06",Tsakane,388.00
15451,Completed,"2025-11-11 11:04",Pretoria,576.00
15450,Completed,"2025-11-11 05:57",Vereeniging,667.00
15449,Completed,"2025-11-10 21:17",Makhanda,420.00
15448,Completed,"2025-11-10 10:39","Modimolle, Hospital View, Diedrick Street, 42",450.00
15447,Completed,"2025-11-10 09:24",Margate,608.00
15445,Processing,"2025-11-10 06:20",Alice,388.00
15443,Completed,"2025-11-09 23:02","Randburg, Johannesburg",260.00
15441,Completed,"2025-11-09 20:22",Hillcrest,388.00
15439,Completed,"2025-11-09 17:09","East London, Mdantsane",260.00
15438,Completed,"2025-11-09 14:09","Middelburg town",1124.00
15436,Completed,"2025-11-09 11:06",Stinkwater,348.00
15435,Completed,"2025-11-09 09:47",Pietermaritzburg,598.00
15434,Completed,"2025-11-09 07:50",Ngcobo,640.00
15432,Completed,"2025-11-08 17:18",Bloemfontein,598.00
15428,Completed,"2025-11-08 13:48",Phuthaditjhaba,880.00
15427,Completed,"2025-11-08 11:28","Kagiso 2 Ext 8",697.00
15426,Completed,"2025-11-08 10:12",Lusikisiki,348.00
15424,Completed,"2025-11-08 07:18",Polokwane,548.00
15423,Completed,"2025-11-08 06:51","Cape Town",508.00
15422,Completed,"2025-11-08 00:04","Cape town",630.00
15421,Completed,"2025-11-07 18:27",Kimberley,608.00
15415,Completed,"2025-11-07 12:40",Vosloorus,522.00
15412,Completed,"2025-11-07 09:32",Vryheid,388.00
15411,Completed,"2025-11-07 07:24","Port Elizabeth",636.00
15410,Completed,"2025-11-07 06:51",Capetown,388.00
15409,Completed,"2025-11-07 02:12","Port Elizabeth",765.00
15408,Completed,"2025-11-06 17:04",Germiston,508.00
15405,Completed,"2025-11-06 07:02","King Williams Town",646.00
15401,Completed,"2025-11-05 23:13",Ingwavuma,546.00
15400,Processing,"2025-11-05 21:39",Evander,260.00
15399,Completed,"2025-11-05 21:00",Durban,618.00
15398,Completed,"2025-11-05 19:46",Johannesburg,765.00
15397,Completed,"2025-11-05 18:23",Ermelo,260.00
15396,Completed,"2025-11-05 16:54",Durban,388.00
15395,Completed,"2025-11-05 12:51",Bethal,540.00
15394,Completed,"2025-11-05 09:09",Roodepoort,348.00
15393,Completed,"2025-11-05 08:06",Ixopo,260.00
15392,Completed,"2025-11-05 06:11","Mount Ayliff",388.00
15391,Completed,"2025-11-05 06:08",Welkom,576.00
15389,Completed,"2025-11-04 21:25","Dolphin Coast",637.00
15388,Completed,"2025-11-04 20:57",Riviersonderend,348.00
15387,Completed,"2025-11-04 20:51",Riviersonderend,380.00
15386,Completed,"2025-11-04 20:43",Riviersonderend,348.00
15385,Completed,"2025-11-04 19:03",Kathu,260.00
15384,Completed,"2025-11-04 10:53",Pretoria,348.00
